text,label
URGENT NOTICE: A Parking Permit violation was detected in your recent activity. Failure to take action in the next hour will result in a locked status.,1
URGENT NOTICE: A Parking Permit violation was detected in your recent activity. Failure to take action in the next hour will result in a locked status.,1
URGENT NOTICE: A Parking Permit violation was detected in your recent activity. Failure to take action in the next hour will result in a locked status.,1
URGENT NOTICE: A Parking Permit violation was detected in your recent activity. Failure to take action in the next hour will result in a locked status.,1
URGENT NOTICE: A Parking Permit violation was detected in your recent activity. Failure to take action in the next hour will result in a locked status.,1
URGENT NOTICE: A Parking Permit violation was detected in your recent activity. Failure to take action in the next hour will result in a locked status.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Student Account for missing documentation. You must appear for a hearing unless you resolve the matter in the next hour.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Student Account for missing documentation. You must appear for a hearing unless you resolve the matter in the next hour.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Student Account for missing documentation. You must appear for a hearing unless you resolve the matter in the next hour.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Student Account for missing documentation. You must appear for a hearing unless you resolve the matter in the next hour.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Student Account for missing documentation. You must appear for a hearing unless you resolve the matter in the next hour.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Student Account for missing documentation. You must appear for a hearing unless you resolve the matter in the next hour.,1
"Official Registrar's Office Statement: Your Scholarship status is currently flagged for review. To restore privileges, complete the mandatory review in the next hour.",1
"Official Registrar's Office Statement: Your Scholarship status is currently flagged for review. To restore privileges, complete the mandatory review in the next hour.",1
"Official Registrar's Office Statement: Your Scholarship status is currently flagged for review. To restore privileges, complete the mandatory review in the next hour.",1
"Official Registrar's Office Statement: Your Scholarship status is currently flagged for review. To restore privileges, complete the mandatory review in the next hour.",1
"Official Registrar's Office Statement: Your Scholarship status is currently flagged for review. To restore privileges, complete the mandatory review in the next hour.",1
"Official Registrar's Office Statement: Your Scholarship status is currently flagged for review. To restore privileges, complete the mandatory review in the next hour.",1
Legal Department Alert: Your Student Account has been locked due to an unpaid balance. You must verify your identity before midnight to prevent permanent closure.,1
Legal Department Alert: Your Student Account has been locked due to an unpaid balance. You must verify your identity before midnight to prevent permanent closure.,1
Legal Department Alert: Your Student Account has been locked due to an unpaid balance. You must verify your identity before midnight to prevent permanent closure.,1
Legal Department Alert: Your Student Account has been locked due to an unpaid balance. You must verify your identity before midnight to prevent permanent closure.,1
Legal Department Alert: Your Student Account has been locked due to an unpaid balance. You must verify your identity before midnight to prevent permanent closure.,1
Legal Department Alert: Your Student Account has been locked due to an unpaid balance. You must verify your identity before midnight to prevent permanent closure.,1
URGENT NOTICE: A Financial Aid violation was detected in your recent activity. Failure to take action to avoid permanent loss will result in a revoked status.,1
URGENT NOTICE: A Financial Aid violation was detected in your recent activity. Failure to take action to avoid permanent loss will result in a revoked status.,1
URGENT NOTICE: A Financial Aid violation was detected in your recent activity. Failure to take action to avoid permanent loss will result in a revoked status.,1
URGENT NOTICE: A Financial Aid violation was detected in your recent activity. Failure to take action to avoid permanent loss will result in a revoked status.,1
URGENT NOTICE: A Financial Aid violation was detected in your recent activity. Failure to take action to avoid permanent loss will result in a revoked status.,1
URGENT NOTICE: A Financial Aid violation was detected in your recent activity. Failure to take action to avoid permanent loss will result in a revoked status.,1
"Official Registrar's Office Statement: Your Campus ID status is currently terminated. To restore privileges, complete the mandatory review by end of the day.",1
"Official Registrar's Office Statement: Your Campus ID status is currently terminated. To restore privileges, complete the mandatory review by end of the day.",1
"Official Registrar's Office Statement: Your Campus ID status is currently terminated. To restore privileges, complete the mandatory review by end of the day.",1
"Official Registrar's Office Statement: Your Campus ID status is currently terminated. To restore privileges, complete the mandatory review by end of the day.",1
"Official Registrar's Office Statement: Your Campus ID status is currently terminated. To restore privileges, complete the mandatory review by end of the day.",1
"Official Registrar's Office Statement: Your Campus ID status is currently terminated. To restore privileges, complete the mandatory review by end of the day.",1
Congratulations! You've been selected by the Legal Department for a $1000 Emergency Grant. Claim your $1000 Emergency Grant before midnight before the link expires.,1
Congratulations! You've been selected by the Legal Department for a $1000 Emergency Grant. Claim your $1000 Emergency Grant before midnight before the link expires.,1
Congratulations! You've been selected by the Legal Department for a $1000 Emergency Grant. Claim your $1000 Emergency Grant before midnight before the link expires.,1
Congratulations! You've been selected by the Legal Department for a $1000 Emergency Grant. Claim your $1000 Emergency Grant before midnight before the link expires.,1
Congratulations! You've been selected by the Legal Department for a $1000 Emergency Grant. Claim your $1000 Emergency Grant before midnight before the link expires.,1
Congratulations! You've been selected by the Legal Department for a $1000 Emergency Grant. Claim your $1000 Emergency Grant before midnight before the link expires.,1
Exclusive $1000 Emergency Grant approved for you! The Compliance Division requires your bank details in the next hour to deposit the funds.,1
Exclusive $1000 Emergency Grant approved for you! The Compliance Division requires your bank details in the next hour to deposit the funds.,1
Exclusive $1000 Emergency Grant approved for you! The Compliance Division requires your bank details in the next hour to deposit the funds.,1
Exclusive $1000 Emergency Grant approved for you! The Compliance Division requires your bank details in the next hour to deposit the funds.,1
Exclusive $1000 Emergency Grant approved for you! The Compliance Division requires your bank details in the next hour to deposit the funds.,1
Exclusive $1000 Emergency Grant approved for you! The Compliance Division requires your bank details in the next hour to deposit the funds.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Housing Application for missing documentation. You must appear for a hearing unless you resolve the matter immediately.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Housing Application for missing documentation. You must appear for a hearing unless you resolve the matter immediately.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Housing Application for missing documentation. You must appear for a hearing unless you resolve the matter immediately.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Housing Application for missing documentation. You must appear for a hearing unless you resolve the matter immediately.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Housing Application for missing documentation. You must appear for a hearing unless you resolve the matter immediately.,1
LEGAL NOTICE: The Financial Aid Office has flagged your Housing Application for missing documentation. You must appear for a hearing unless you resolve the matter immediately.,1
Academic Affairs Alert: Your Email Access has been placed on hold due to failed verification. You must verify your identity to avoid permanent loss to prevent permanent closure.,1
Academic Affairs Alert: Your Email Access has been placed on hold due to failed verification. You must verify your identity to avoid permanent loss to prevent permanent closure.,1
Academic Affairs Alert: Your Email Access has been placed on hold due to failed verification. You must verify your identity to avoid permanent loss to prevent permanent closure.,1
